trial,mode,challenge,status,security_outcome,duration_seconds,detail
1,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_001.jpg, EAR=0.354 if ear_val else N/A, yaw=-18.8 if yaw_val else N/A"
2,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_002.jpg, EAR=0.370 if ear_val else N/A, yaw=-23.2 if yaw_val else N/A"
3,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_003.jpg, EAR=0.362 if ear_val else N/A, yaw=18.8 if yaw_val else N/A"
4,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_004.jpg, EAR=0.362 if ear_val else N/A, yaw=-12.9 if yaw_val else N/A"
5,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_005.jpg, EAR=0.351 if ear_val else N/A, yaw=-9.2 if yaw_val else N/A"
6,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_001.jpg, EAR=0.570 if ear_val else N/A, yaw=-58.9 if yaw_val else N/A"
7,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_002.jpg, EAR=0.626 if ear_val else N/A, yaw=-58.9 if yaw_val else N/A"
8,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_003.jpg, EAR=0.416 if ear_val else N/A, yaw=-45.0 if yaw_val else N/A"
9,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_004.jpg, EAR=0.365 if ear_val else N/A, yaw=-39.9 if yaw_val else N/A"
10,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_005.jpg, EAR=0.460 if ear_val else N/A, yaw=-53.2 if yaw_val else N/A"
11,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_006.jpg, EAR=0.391 if ear_val else N/A, yaw=-32.0 if yaw_val else N/A"
12,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_001.jpg, EAR=0.454 if ear_val else N/A, yaw=63.4 if yaw_val else N/A"
13,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_002.jpg, EAR=0.505 if ear_val else N/A, yaw=58.9 if yaw_val else N/A"
14,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_003.jpg, EAR=0.419 if ear_val else N/A, yaw=47.9 if yaw_val else N/A"
1,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_001.jpg, EAR=0.354, yaw=-18.8"
2,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_002.jpg, EAR=0.370, yaw=-23.2"
3,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_003.jpg, EAR=0.362, yaw=18.8"
4,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_004.jpg, EAR=0.362, yaw=-12.9"
5,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_005.jpg, EAR=0.351, yaw=-9.2"
6,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_001.jpg, EAR=0.570, yaw=-58.9"
7,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_002.jpg, EAR=0.626, yaw=-58.9"
8,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_003.jpg, EAR=0.416, yaw=-45.0"
9,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_004.jpg, EAR=0.365, yaw=-39.9"
10,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_005.jpg, EAR=0.460, yaw=-53.2"
11,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_006.jpg, EAR=0.391, yaw=-32.0"
12,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_001.jpg, EAR=0.454, yaw=63.4"
13,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_002.jpg, EAR=0.505, yaw=58.9"
14,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_003.jpg, EAR=0.419, yaw=47.9"
15,live_genuine,active_liveness_turn_right,fail,Genuine Rejection (fail),0.05,"filename=right_004.jpg, EAR=N/A, yaw=N/A"
16,live_genuine,active_liveness_turn_right,fail,Genuine Rejection (fail),0.05,"filename=right_005.jpg, EAR=N/A, yaw=N/A"
17,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_006.jpg, EAR=0.367, yaw=60.8"
18,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_007.jpg, EAR=0.363, yaw=57.2"
19,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_frozen_001.jpg, EAR=0.264, yaw=32.1"
20,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_frozen_002.jpg, EAR=0.279, yaw=17.9"
21,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_multiple_001.jpg, EAR=0.257, yaw=25.6"
22,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_multiple_002.jpg, EAR=0.194, yaw=5.7"
23,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_multiple_003.jpg, EAR=0.281, yaw=9.4"
24,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_printed_001.jpg, EAR=0.346, yaw=-33.0"
25,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_video_001.jpg, EAR=0.241, yaw=-12.0"
26,attack_recorded_video,active_liveness_static_replay,fail,spoof correctly rejected (good),0.05,"filename=attack_video_002.jpg, EAR=0.341, yaw=-26.8"
